玩家名,行,列,用时/秒,时间
plazum,14,10,'1.00,Mon Dec 06 2021 01:49:13 GMT+0800 (中国标准时间)
plazum,14,10,'1.35,Mon Dec 06 2021 14:53:02 GMT+0800 (中国标准时间)
plazum,14,10,'1.44,Mon Dec 06 2021 14:57:48 GMT+0800 (中国标准时间)
plazum,14,10,'1.28,Mon Dec 06 2021 15:30:45 GMT+0800 (中国标准时间)
plazum,14,14,'2.42,Mon Dec 06 2021 18:20:50 GMT+0800 (中国标准时间)
plazum,20,14,'2.27,Mon Dec 06 2021 18:21:15 GMT+0800 (中国标准时间)
plazum,20,20,'2.75,Mon Dec 06 2021 18:21:28 GMT+0800 (中国标准时间)
plazum,14,10,'3.00,Mon Dec 06 2021 18:23:07 GMT+0800 (CST)
lightnf,14,10,'1.53,Mon Dec 06 2021 19:18:11 GMT+0800 (中国标准时间)
lightnf,14,10,'1.00,Mon Dec 06 2021 19:19:36 GMT+0800 (中国标准时间)
lightnf,20,14,'0.97,Mon Dec 06 2021 19:21:38 GMT+0800 (中国标准时间)
Beau_David,20,14,'5.86,Mon Dec 06 2021 19:22:35 GMT+0800 (中国标准时间)
平安名堇,20,14,'0.96,Mon Dec 06 2021 19:23:07 GMT+0800 (中国标准时间)
lightnf,20,14,'0.82,Mon Dec 06 2021 19:23:31 GMT+0800 (中国标准时间)
叶月恋,20,14,'2.10,Mon Dec 06 2021 19:40:36 GMT+0800 (中国标准时间)
Morningstar,100,100,'46.02,Mon Dec 06 2021 19:59:11 GMT+0800 (中国标准时间)
Morningstar,250,250,'71.70,Mon Dec 06 2021 20:02:42 GMT+0800 (中国标准时间)
涩谷香音,14,10,'1.83,Mon Dec 06 2021 20:19:51 GMT+0800 (中国标准时间)
岚千砂都,14,10,'0.72,Mon Dec 06 2021 20:19:50 GMT+0800 (中国标准时间)
叶月恋,14,10,'2.25,Mon Dec 06 2021 20:20:11 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.73,Mon Dec 06 2021 20:20:25 GMT+0800 (中国标准时间)
平安名堇,14,10,'0.82,Mon Dec 06 2021 20:20:31 GMT+0800 (中国标准时间)
唐可可,20,14,'4.52,Mon Dec 06 2021 20:23:07 GMT+0800 (中国标准时间)
岚千砂都,20,14,'1.84,Mon Dec 06 2021 20:24:42 GMT+0800 (中国标准时间)
岚千砂都,20,20,'3.71,Mon Dec 06 2021 20:25:02 GMT+0800 (中国标准时间)
morningstar,14,10,'2.54,Mon Dec 06 2021 21:24:23 GMT+0800 (CST)
Morningstar,14,10,'2.11,Mon Dec 06 2021 21:25:02 GMT+0800 (CST)
唐可可,20,20,'2.27,Mon Dec 06 2021 21:28:22 GMT+0800 (CST)
Morningstar,500,500,'180.65,Mon Dec 06 2021 21:33:59 GMT+0800 (CST)
Morningstar,14,10,'1.41,Mon Dec 06 2021 21:55:04 GMT+0800 (CST)
Morningstar,14,10,'1.41,Mon Dec 06 2021 21:56:11 GMT+0800 (CST)
平安名堇Morningstar,14,10,'1.16,Mon Dec 06 2021 21:56:24 GMT+0800 (CST)
唐可可Morningstar,14,10,'0.92,Mon Dec 06 2021 21:56:33 GMT+0800 (CST)
Morningstar,249,250,'17.95,Mon Dec 06 2021 23:47:08 GMT+0800 (中国标准时间)
