玩家名,行,列,用时/秒,时间,UNIX时间戳
叶月恋,14,10,'2.49,Sat Jan 22 2022 21:30:54 GMT+0800 (CST),1642858254
yzh,20,14,'1.55,Thu Jan 27 2022 22:20:49 GMT+0800 (中国标准时间),1643293249
pig,14,10,'2.13,Thu Jan 27 2022 22:29:05 GMT+0800 (中国标准时间),1643293745
平安名堇,14,10,'2.13,Thu Jan 27 2022 22:44:17 GMT+0800 (中国标准时间),1643294657
沐木查,20,14,'3.14,Thu Jan 27 2022 22:50:24 GMT+0800 (中国标准时间),1643295024
唐可可,14,10,'2.75,Thu Jan 27 2022 22:51:01 GMT+0800 (GMT+08:00),1643295061
唐可可,14,10,'1.35,Thu Jan 27 2022 22:51:16 GMT+0800 (GMT+08:00),1643295076
UnPykable,14,10,'2.35,Thu Jan 27 2022 23:08:14 GMT+0800 (CST),1643296094
UnPykable,14,10,'2.16,Thu Jan 27 2022 23:08:33 GMT+0800 (CST),1643296113
orangal,14,10,'1.38,Thu Jan 27 2022 23:12:56 GMT+0800 (CST),1643296376
orangal,14,10,'2.29,Thu Jan 27 2022 23:14:00 GMT+0800 (CST),1643296440
平安名堇,20,14,'2.24,Thu Jan 27 2022 23:16:32 GMT+0800 (中国标准时间),1643296592
winterzz,20,14,'5.22,Thu Jan 27 2022 23:25:07 GMT+0800 (CST),1643297107
涩谷香音,14,10,'1.69,Thu Jan 27 2022 23:47:59 GMT+0800 (China Standard Time),1643298479
涩谷香音,14,10,'1.99,Thu Jan 27 2022 23:48:59 GMT+0800 (CST),1643298539
xzjnb8,14,10,'2.78,Thu Jan 27 2022 23:51:56 GMT+0800 (CST),1643298716
114514,14,10,'2.39,Thu Jan 27 2022 23:55:12 GMT+0800 (中国标准时间),1643298912
牛奶糖,14,10,'1.82,Thu Jan 27 2022 23:59:59 GMT+0800 (中国标准时间),1643299199
叶月恋,14,10,'1.71,Fri Jan 28 2022 00:11:01 GMT+0800 (中国标准时间),1643299861
